ID,name,sort name,birth year,death year,Has Account,Admin Link,VIAF id,Gender,Birth Date,Death Date,Wikidata URL,Wikipedia URL,Nationality
6463,Anne Robeson Brown Burr,"Burr, Anne Robeson Brown",1873.0,1941.0,False,/admin/people/person/6463/change/,http://viaf.org/viaf/32356686/,Female,1873.0,1941.0,https://www.wikidata.org/entity/Q27137886#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Anna_Robeson_Brown,United States
7684,Evan Charteris,"Charteris, Evan",1864.0,1940.0,False,/admin/people/person/7684/change/,http://viaf.org/viaf/32368355/,Male,1864.0,1940.0,https://www.wikidata.org/entity/Q5415337#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Evan_Charteris,United Kingdom
7172,Emory Holloway,"Holloway, Emory",1885.0,1977.0,False,/admin/people/person/7172/change/,http://viaf.org/viaf/32371641/,Male,1885.0,1977.0,https://www.wikidata.org/entity/Q1339066#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Emory_Holloway,United States
9838,Arthur William Conway,"Conway, Arthur William",1875.0,1950.0,False,/admin/people/person/9838/change/,http://viaf.org/viaf/32383721/,Male,1875.0,1950.0,https://www.wikidata.org/entity/Q4800555#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Arthur_W._Conway,Ireland
7930,Gerard Fairlie,"Fairlie, Gerard",1899.0,1983.0,False,/admin/people/person/7930/change/,http://viaf.org/viaf/32462611/,Male,1899.0,1983.0,https://www.wikidata.org/entity/Q5549995#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Gerard_Fairlie,United Kingdom
7144,R. Osborn,"Osborn, R.",1908.0,,False,/admin/people/person/7144/change/,http://viaf.org/viaf/32521245/,Male,,,,,United States
6517,Magdalen King-Hall,"King-Hall, Magdalen",1904.0,1971.0,False,/admin/people/person/6517/change/,http://viaf.org/viaf/32602747/,Female,1904.0,1971.0,https://www.wikidata.org/entity/Q6729830#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Magdalen_King-Hall,United Kingdom
6202,H. T. Lowe-Porter,"Lowe-Porter, H. T.",1876.0,1963.0,False,/admin/people/person/6202/change/,http://viaf.org/viaf/32728448/,Female,1876.0,1963.0,https://www.wikidata.org/entity/Q5628593#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Helen_Tracy_Lowe-Porter,United States
7324,Jennie Lee,"Lee, Jennie",1904.0,1988.0,False,/admin/people/person/7324/change/,http://viaf.org/viaf/3275614/,Female,,,https://www.wikidata.org/entity/Q1686926#sitelinks-wikipedia,"https://en.wikipedia.org/wiki/Jennie_Lee,_Baroness_Lee_of_Asheridge",Scotland
7334,Robert James Fletcher,"Fletcher, Robert James",1877.0,1965.0,False,/admin/people/person/7334/change/,http://viaf.org/viaf/32787924/,Male,1877.0,1965.0,https://www.wikidata.org/entity/Q3435521#sitelinks-wikipedia,,United Kingdom
7410,George Ade,"Ade, George",1866.0,1944.0,False,/admin/people/person/7410/change/,http://viaf.org/viaf/32789899/,Male,1866.0,1944.0,https://www.wikidata.org/entity/Q1506837#sitelinks-wikipedia,https://en.wikipedia.org/wiki/George_Ade,United States
7703,Thomas James Wise,"Wise, Thomas James",1859.0,1937.0,False,/admin/people/person/7703/change/,http://viaf.org/viaf/32803197/,Male,1859.0,1937.0,https://www.wikidata.org/entity/Q7791218#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Thomas_James_Wise,United Kingdom
6496,G. E. R. Geyde,"Geyde, G. E. R.",1890.0,1970.0,False,/admin/people/person/6496/change/,http://viaf.org/viaf/32849395/,Male,1890.0,1970.0,https://www.wikidata.org/entity/Q1507315#sitelinks-wikipedia,https://en.wikipedia.org/wiki/George_Eric_Rowe_Gedye,United Kingdom
6477,Hope Mirrlees,"Mirrlees, Hope",1887.0,1978.0,False,/admin/people/person/6477/change/,http://viaf.org/viaf/32932700/,Female,,,https://www.wikidata.org/entity/Q4296277#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Hope_Mirrlees,United Kingdom
11082,R. Glynn Grylls,"Grylls, R. Glynn",1905.0,1988.0,False,/admin/people/person/11082/change/,http://viaf.org/viaf/3300946/,Female,1905.0,1988.0,https://www.wikidata.org/entity/Q16012082#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Rosalie_Glynn_Grylls,United Kingdom
8227,William Douglas Robson-Scott,"Robson-Scott, William Douglas",1903.0,1981.0,False,/admin/people/person/8227/change/,http://viaf.org/viaf/33017666/,Male,,,,,United Kingdom
7670,William Clark Russell,"Russell, William Clark",1844.0,1911.0,False,/admin/people/person/7670/change/,http://viaf.org/viaf/33053756/,Male,1844.0,1911.0,https://www.wikidata.org/entity/Q12407121#sitelinks-wikipedia,https://en.wikipedia.org/wiki/William_Clark_Russell,United Kingdom
8267,William Black,"Black, William",1841.0,1898.0,False,/admin/people/person/8267/change/,http://viaf.org/viaf/33136659/,Male,1841.0,1898.0,,,Scotland
9701,William Aspenwall Bradley,"Bradley, William Aspenwall",1878.0,1939.0,False,/admin/people/person/9701/change/,http://viaf.org/viaf/33243662/,Male,1878.0,1939.0,https://www.wikidata.org/entity/Q47536189#sitelinks-wikipedia,,United States
8170,William Aspenwall Bradley,"Bradley, William Aspenwall",1878.0,1939.0,False,/admin/people/person/8170/change/,http://viaf.org/viaf/33243662/,Male,1878.0,1939.0,https://www.wikidata.org/entity/Q47536189#sitelinks-wikipedia,,United States
