uri,genre,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/sinclair-creators-comedy/,Fiction,The Creators: A Comedy,"Sinclair, May",,,,,,1910,Book,FALSE,https://archive.org/details/creatorscomedy00sinc,,,3,3,0,1936;1934;1927,2021-04-30T01:30:49+00:00
https://shakespeareandco.princeton.edu/books/dehan-dop-doctor/,Fiction,The Dop Doctor,"Dehan, Richard",,,,,,1910,Book,FALSE,https://archive.org/details/dopdoctor00deha,,,1,1,0,1934,2021-05-05T01:11:31+00:00
https://shakespeareandco.princeton.edu/books/synge-dramatic-works-john/,Drama,The Dramatic Works of John M. Synge,"Synge, John Millington",,,,,,1910,Book,FALSE,,,,4,3,1,1938;1941;1935,2020-06-01T18:04:56+00:00
https://shakespeareandco.princeton.edu/books/france-elm-tree-mall/,Fiction,The Elm-Tree on the Mall: A Chronicle of Our Own Times,"France, Anatole",,"Willcocks, M. P.",,,,1910,Book,FALSE,https://archive.org/details/elmtreeonmallchr00franuoft/page/n6/mode/2up,,,1,1,0,1926,2020-05-05T02:53:39+00:00
https://shakespeareandco.princeton.edu/books/james-finer-grain/,Fiction,The Finer Grain,"James, Henry",,,,,,1910,Book,FALSE,https://archive.org/details/finergrain01jamegoog,,,2,2,0,1947;1926,2020-05-26T19:17:54+00:00
https://shakespeareandco.princeton.edu/books/wells-history-mr-polly/,Fiction,The History of Mr. Polly,"Wells, H. G.",,,,,,1910,Book,FALSE,https://archive.org/details/in.ernet.dli.2015.209763/page/n3/mode/2up,,,4,4,0,1921;1940;1941,2021-07-04T21:45:46+00:00
https://shakespeareandco.princeton.edu/books/bennett-honeymoon-comedy-three/,Drama,The Honeymoon: A Comedy in Three Acts,"Bennett, Arnold",,,,,,1910,Book,FALSE,https://archive.org/details/honeymooncomedyi00bennuoft,,,2,2,0,1920;1939,2021-07-04T22:13:46+00:00
https://shakespeareandco.princeton.edu/books/tagore-king-dark-chamber/,Drama,The King of the Dark Chamber,"Tagore, Rabindranath",,,,,,1910,Book,FALSE,https://archive.org/stream/cu31924023081924,,,3,3,0,1921;1922;1933,2020-06-29T03:47:42+00:00
https://shakespeareandco.princeton.edu/books/oppenheim-missing-delora/,Fiction,The Missing Delora,"Oppenheim, E. Phillips",,,,,,1910,Book,FALSE,https://archive.org/details/dli.ernet.248111/page/n5/mode/2up,,,2,2,0,1929;1927,2021-11-14T20:17:25.255070+00:00
https://shakespeareandco.princeton.edu/books/wells-new-machiavelli/,Fiction,The New Machiavelli,"Wells, H. G.",,,,,,1910,Book,FALSE,https://archive.org/details/newmachiavelli00welluoft/page/n7/mode/2up,,,7,6,1,1921;1922;1931;1933;1936;1940;1941,2020-05-28T02:59:14+00:00
https://shakespeareandco.princeton.edu/books/de-la-mare-return/,Fiction,The Return,"De la Mare, Walter",,,,,,1910,Book,FALSE,https://archive.org/details/cu31924013605526,,,5,5,0,1922;1923;1927;1936;1940,2021-11-08T05:38:07.340077+00:00
https://shakespeareandco.princeton.edu/books/ingram-true-chatterton-new/,Nonfiction,The True Chatterton: A New Study from Original Documents,"Ingram, John Henry",,,,,,1910,Book,FALSE,https://archive.org/details/cu31924013170570,,,3,3,0,1928;1929;1923,2021-10-31T19:58:13.659372+00:00
https://shakespeareandco.princeton.edu/books/houghton-younger-generation/,Drama,The Younger Generation,"Houghton, Stanley",,,,,,1910,Book,FALSE,https://archive.org/details/youngergeneratio00houg/page/n5/mode/2up,,,2,2,0,1920;1921,2021-01-06T14:48:03+00:00
https://shakespeareandco.princeton.edu/books/chesterton-whats-wrong-world/,Nonfiction,What's Wrong with the World,"Chesterton, G. K.",,,,,,1910,Book,FALSE,https://archive.org/details/whatswrongwithwo00chesiala,,,1,1,0,1925,2021-10-29T03:26:42.637213+00:00
https://shakespeareandco.princeton.edu/books/henry-whirligigs/,Fiction,Whirligigs,"Henry, O.",,,,,,1910,Book,FALSE,https://archive.org/details/whirligigs00henr,,,1,1,0,1926,2021-10-29T03:38:56.542391+00:00
https://shakespeareandco.princeton.edu/books/france-wicker-work-woman/,Fiction,Wicker Work Woman,"France, Anatole",,,,,,1910,Book,FALSE,https://archive.org/details/cu31924027269640,,,1,1,0,1926,2021-10-29T02:42:31.324236+00:00
https://shakespeareandco.princeton.edu/books/baker-shakespeare-glossary/,Nonfiction,A Shakespeare Glossary,"Onions, C. T.",,,,,,1911,Book,FALSE,https://archive.org/details/shakespearegloss00oniouoft/page/n4/mode/2up,,,1,0,1,1931,2020-05-10T02:43:26+00:00
https://shakespeareandco.princeton.edu/books/graham-vagabond-caucasus-notes/,Nonfiction,A Vagabond in the Caucasus: With Some Notes of His Experiences among the Russians,"Graham, Stephen",,,,,,1911,Book,FALSE,https://archive.org/details/vagabondincaucas00grahrich,,,1,1,0,1941,2020-07-07T03:04:01+00:00
